Source.Name,Rk,Team,date,pts,away,opp,result,mp,fg,fga,fgpc,twop,twopa,twofgpc,threep,threepa,threefgpc,ft,fta,ftpc,season
NBA_by_game_1000.csv,846,CHO,11/9/2018,132,away,PHI,L 132-133 (OT),265,43,110,0.391,27,70,0.386,16,40,0.4,30,40,0.75,2018-19
NBA_by_game_1000.csv,847,POR,11/1/2018,132,,NOP,W 132-119,240,44,87,0.506,26,52,0.5,18,35,0.514,26,31,0.839,2018-19
NBA_by_game_1000.csv,848,UTA,10/27/2018,132,away,NOP,W 132-111,240,46,88,0.523,36,56,0.643,10,32,0.313,30,37,0.811,2018-19
NBA_by_game_1000.csv,849,PHI,10/23/2018,132,away,DET,L 132-133 (OT),265,49,98,0.5,35,55,0.636,14,43,0.326,20,28,0.714,2018-19
NBA_by_game_1000.csv,850,IND,10/20/2018,132,,BRK,W 132-112,240,51,92,0.554,35,68,0.515,16,24,0.667,14,22,0.636,2018-19
NBA_by_game_1000.csv,851,PHI,4/6/2018,132,,CLE,W 132-130,240,50,101,0.495,36,62,0.581,14,39,0.359,18,21,0.857,2017-18
NBA_by_game_1000.csv,852,CLE,3/21/2018,132,,TOR,W 132-129,240,47,78,0.603,32,54,0.593,15,24,0.625,23,28,0.821,2017-18
NBA_by_game_1000.csv,853,OKC,3/18/2018,132,away,TOR,W 132-125,240,49,88,0.557,39,67,0.582,10,21,0.476,24,34,0.706,2017-18
NBA_by_game_1000.csv,854,TOR,3/11/2018,132,away,NYK,W 132-106,240,47,93,0.505,31,58,0.534,16,35,0.457,22,25,0.88,2017-18
NBA_by_game_1000.csv,855,NOP,1/22/2018,132,,CHI,W 132-128 (2OT),290,47,113,0.416,31,69,0.449,16,44,0.364,22,26,0.846,2017-18
NBA_by_game_1000.csv,856,LAL,1/7/2018,132,,ATL,W 132-113,240,48,86,0.558,32,50,0.64,16,36,0.444,20,25,0.8,2017-18
NBA_by_game_1000.csv,857,LAL,10/20/2017,132,away,PHO,W 132-130,240,48,93,0.516,36,67,0.537,12,26,0.462,24,33,0.727,2017-18
NBA_by_game_1000.csv,858,DEN,2/13/2017,132,,GSW,W 132-110,240,48,88,0.545,24,47,0.511,24,41,0.585,12,16,0.75,2016-17
NBA_by_game_1000.csv,859,CLE,2/8/2017,132,away,IND,W 132-117,240,46,84,0.548,30,48,0.625,16,36,0.444,24,26,0.923,2016-17
NBA_by_game_1000.csv,860,TOR,1/13/2017,132,,BRK,W 132-113,240,52,97,0.536,41,69,0.594,11,28,0.393,17,21,0.81,2016-17
NBA_by_game_1000.csv,861,DEN,12/15/2016,132,,POR,W 132-120,240,43,84,0.512,28,53,0.528,15,31,0.484,31,35,0.886,2016-17
NBA_by_game_1000.csv,862,HOU,12/14/2016,132,,SAC,W 132-98,240,50,85,0.588,28,43,0.651,22,42,0.524,10,16,0.625,2016-17
NBA_by_game_1000.csv,863,HOU,12/1/2016,132,away,GSW,W 132-127 (2OT),290,48,108,0.444,34,64,0.531,14,44,0.318,22,30,0.733,2016-17
NBA_by_game_1000.csv,864,OKC,11/25/2016,132,away,DEN,W 132-129 (OT),265,48,96,0.5,35,70,0.5,13,26,0.5,23,29,0.793,2016-17
NBA_by_game_1000.csv,865,MIN,3/25/2016,132,away,WAS,W 132-129 (2OT),290,51,96,0.531,43,70,0.614,8,26,0.308,22,22,1,2015-16
NBA_by_game_1000.csv,866,DAL,3/20/2016,132,,POR,W 132-120 (OT),265,49,89,0.551,34,64,0.531,15,25,0.6,19,23,0.826,2015-16
NBA_by_game_1000.csv,867,MIN,3/5/2016,132,,BRK,W 132-118,240,52,76,0.684,42,58,0.724,10,18,0.556,18,22,0.818,2015-16
NBA_by_game_1000.csv,868,GSW,1/18/2016,132,away,CLE,W 132-98,240,46,85,0.541,27,45,0.6,19,40,0.475,21,27,0.778,2015-16
